,Provincia,Poblacion
958,BUENOS AIRES,1041
959,BUENOS AIRES,1078
960,BUENOS AIRES,168
961,BUENOS AIRES,993
962,BUENOS AIRES,91399
963,BUENOS AIRES,393
964,BUENOS AIRES,695
965,BUENOS AIRES,1144
966,BUENOS AIRES,145
967,BUENOS AIRES,66
968,BUENOS AIRES,2502
969,BUENOS AIRES,0
970,BUENOS AIRES,0
971,BUENOS AIRES,0
972,LA RIOJA,12249
973,LA RIOJA,852
974,LA RIOJA,534
975,LA RIOJA,407
976,LA RIOJA,0
977,LA RIOJA,0
978,LA RIOJA,124
979,LA RIOJA,1090
980,LA RIOJA,178872
981,LA RIOJA,833
982,LA RIOJA,1573
983,LA RIOJA,418
984,LA RIOJA,236
985,LA RIOJA,244
986,LA RIOJA,390
987,LA RIOJA,298
988,CABA,65413
989,CATAMARCA,0
990,CATAMARCA,0
991,CATAMARCA,0
992,CATAMARCA,0
993,CATAMARCA,247
994,CATAMARCA,254
995,CATAMARCA,0
996,CATAMARCA,10242
997,CATAMARCA,740
998,CATAMARCA,251
999,CABA,29273
1000,CATAMARCA,68
1001,CATAMARCA,123
1002,CATAMARCA,70
1003,CATAMARCA,63
1004,CATAMARCA,1019
1005,CATAMARCA,2104
1006,CATAMARCA,218
1007,CATAMARCA,493
1008,CATAMARCA,136
1009,CATAMARCA,126
1010,CATAMARCA,1156
1011,CATAMARCA,68
1012,BUENOS AIRES,0
1013,BUENOS AIRES,0
1014,BUENOS AIRES,0
1015,BUENOS AIRES,0
1016,BUENOS AIRES,0
1017,BUENOS AIRES,33704
1018,BUENOS AIRES,55952
1019,BUENOS AIRES,159094
1020,BUENOS AIRES,86220
1021,LA PAMPA,3
1022,BUENOS AIRES,51001
1023,BUENOS AIRES,25844
1024,BUENOS AIRES,17928
1025,BUENOS AIRES,60422
1026,BUENOS AIRES,30355
1027,BUENOS AIRES,48151
1028,CATAMARCA,277
1029,CATAMARCA,481
1030,CATAMARCA,32
1031,CATAMARCA,116
1032,BUENOS AIRES,16173
1033,BUENOS AIRES,18082
1034,BUENOS AIRES,14404
1035,BUENOS AIRES,4097
1036,BUENOS AIRES,25120
1037,BUENOS AIRES,13440
1038,BUENOS AIRES,3762
1039,BUENOS AIRES,4567
1040,BUENOS AIRES,10018
1041,BUENOS AIRES,3654
1042,BUENOS AIRES,41437
1043,BUENOS AIRES,4923
1044,BUENOS AIRES,12451
1045,BUENOS AIRES,9009
1046,BUENOS AIRES,4379
1047,BUENOS AIRES,1970
1048,BUENOS AIRES,12240
1049,BUENOS AIRES,86158
1050,BUENOS AIRES,26400
1051,BUENOS AIRES,732
1052,BUENOS AIRES,464
1053,BUENOS AIRES,3550
1054,BUENOS AIRES,25325
1055,BUENOS AIRES,22745
1056,BUENOS AIRES,37392
1057,BUENOS AIRES,32384
1058,BUENOS AIRES,1848
1059,BUENOS AIRES,26
1060,BUENOS AIRES,14496
1061,BUENOS AIRES,142
1062,BUENOS AIRES,327
